"","X","RecordedDate","UserLanguage","time","age","gender","married","education","caste_ethnicity","caste_ethnicity_aru","district","rural_urban","past_experience","anxiety","eews_know","opinion_ewws_need","receive_warning","display","behavior","small_behavior","exp1_implement","exp_1_useful","exp_1_interest","ask_again","exp1_treat","exp1_implement_code","exp1_useful_code","exp_1_interest_code","exp_1_interest_code_check","eews_know_code","anxiety_code","caste_ethnicity_code","married_code","gender_code","rural_urban_code","education_code","age_code","opinion_eews_need_code","small_behavior_code","experience_count","experience_score","experience_index","display_score"
"115",115,"2024-07-16","NE",9.58333333333333,"41-45","Male","Married","Pre-primary and/or primary","Newar (Newa)","","Kathmandu","City","Personally felt an earthquake before","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins","Run outside to open space","","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,1,5,1,1,0,0,1,2,4,NA,1,1,0.0526315789473684,1
"116",116,"2024-07-16","EN",12.7333333333333,"31-35","Male","Married","University (Bachelor)","Magar","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",1,5,5,0,0,4,5,2,1,0,0,3,1,5,1,2,3,0.157894736842105,6
"117",117,"2024-07-16","EN",9.01666666666667,"26-30","Male","Single (never married)","University (Bachelor)","Bahun","","Nuwakot","Village","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Struggled mentally following an earthquake,Observed","Highly agree (Very worried)","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Epicenter (point of earthquake origin)","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",0,5,5,0,0,5,5,0,0,0,2,3,1,5,1,5,11,0.578947368421053,3
"118",118,"2024-07-16","EN",7.1,"36-40","Male","Married","Secondary","Magar","","Rupandehi","City","Personally felt an earthquake before,Personally have felt strong shaking,Observed,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",3,5,5,0,0,3,4,2,1,0,0,2,2,2,0,4,6,0.315789473684211,5
"119",119,"2024-07-16","NE",23.1,"71-75","Male","Married","University (Bachelor)","Newar (Newa)","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes that will certainly cause damage.","A specific device designed to receive an earthquake early warning","Time available before shaking begins,Expected intensity of ground shaking,Expected duration of shaking","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,3,5,1,1,0,0,3,5,1,0,5,8,0.421052631578947,3
"120",120,"2024-07-16","EN",16.0166666666667,"61-65","Male","Married","Post-graduate","Bahun","","Kathmandu","Town","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, I will certainly feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3,5,5,1,1,2,5,0,1,0,1,4,4,3,1,8,19,1,1
"121",121,"2024-07-16","NE",14.55,"21-25","Male","Single (never married)","University (Bachelor)","Madhesh","","Bara","Village","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes that will certainly cause damage.","Social media (Facebook, Twitter)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking","Try to reach my friends, family or anyone near me","My behavior would be the same for all earthquakes.","I have no strong opinions about its implementation.","Useful","Yes","",0,3,5,1,1,5,5,2,0,0,2,3,0,1,0,8,19,1,3
"122",122,"2024-07-17","NE",8.33333333333333,"41-45","Male","Married","Post-graduate","Newar (Newa)","","Lalitpur","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Observed","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","TV message","Expected duration of shaking,Recommended actions","Try to reach my friends, family or anyone near me","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes","",3,5,4,1,1,2,4,1,1,0,0,4,2,2,0,4,10,0.526315789473684,2
"123",123,"2024-07-17","EN",14.4833333333333,"56-60","Male","Married","University (Bachelor)","Bahun","","","Town","Personally felt an earthquake before","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake","Run outside to open space","I don't know","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2,5,5,1,1,2,5,0,1,0,1,3,4,5,NA,1,1,0.0526315789473684,2
"124",124,"2024-07-17","NE",17.4833333333333,"21-25","Male","Married","University (Bachelor)","Chhetri","","Kathmandu","City","Personally have felt strong shaking","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2,5,5,1,1,2,4,0,1,0,0,3,0,5,0,1,2,0.105263157894737,5
"125",125,"2024-07-17","EN",8.4,"31-35","Male","Married","Secondary","Newar (Newa)","","Kaski","City","Personally felt an earthquake before,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins","Try to reach my friends, family or anyone near me","My behavior would be the same for all earthquakes.","","","","",NA,NA,NA,NA,NA,3,4,1,1,0,0,2,1,5,0,2,2,0.105263157894737,1
"126",126,"2024-07-17","NE",5.01666666666667,"41-45","Female","Married","Secondary","Newar (Newa)","","Bhaktapur","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2,5,5,1,1,4,5,1,1,1,0,2,2,3,0,8,19,1,1
"127",127,"2024-07-17","NE",32.2833333333333,"36-40","Male","Married","Secondary","Magar","","Dhankuta","Village","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Try to reach my friends, family or anyone near me","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0,5,5,1,1,2,5,2,1,0,2,2,2,5,1,6,12,0.631578947368421,6
"128",128,"2024-07-17","EN",7.1,"18-20","Male","Single (never married)","Secondary","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Observed,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Expected intensity of ground shaking,Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0,5,5,1,1,3,4,0,0,0,0,2,0,4,1,5,10,0.526315789473684,4
"129",129,"2024-07-17","EN",13.1333333333333,"56-60","Male","Married","University (Bachelor)","Thakuri","","Lalitpur","City","Personally have felt strong shaking","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes that will certainly cause damage.","Mobile phone alert (app)","Time available before shaking begins","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3,5,5,1,1,2,5,2,1,0,0,3,4,1,1,1,2,0.105263157894737,1
"130",130,"2024-07-17","NE",13.1666666666667,"46-50","Male","Married","Post-graduate","Chhetri","","Makwanpur","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Slightly agree ","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",3,5,5,0,0,5,4,0,1,0,0,4,3,5,1,8,19,1,6
"131",131,"2024-07-17","NE",41.3833333333333,"51-55","Male","Married","Pre-primary and/or primary","Chhetri","","Jhapa","City","Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of,Skip","","","","I don't know","","","","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes","",3,5,4,1,1,NA,NA,0,1,0,0,1,3,NA,NA,8,18,0.947368421052632,NA
"132",132,"2024-07-17","EN",11.5833333333333,"21-25","Male","Single (never married)","University (Bachelor)","Chhetri","","Sindhupalchowk","Village","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,3,5,0,0,0,2,3,0,2,1,6,12,0.631578947368421,5
"133",133,"2024-07-17","EN",15.1166666666667,"26-30","Male","Married","Secondary","Bahun","","Rupandehi","Village","Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Slightly disagree ","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2,5,5,1,1,2,2,0,1,0,2,2,1,2,1,5,11,0.578947368421053,6
"134",134,"2024-07-18","NE",25.95,"56-60","Male","Married","Post-graduate","Newar (Newa)","","Bhaktapur","Town","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","A specific device designed to receive an earthquake early warning","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions,Other","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0,5,5,1,1,3,5,1,1,0,1,4,4,4,0,6,12,0.631578947368421,7
"135",135,"2024-07-18","EN",32.4,"18-20","Male","Single (never married)","Secondary","Limbu","","Kathmandu","City","","","","","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,NA,NA,2,0,0,0,2,0,NA,1,0,0,0,2
"136",136,"2024-07-18","NE",12.5333333333333,"41-45","Male","Married","Post-graduate","Chhetri","","Darchula","City","Personally have felt strong shaking,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3,5,5,1,1,2,5,0,1,0,0,4,2,5,0,3,5,0.263157894736842,5
"137",137,"2024-07-18","NE",8.7,"21-25","Male","Married","University (Bachelor)","Yadav","","Sunsari","City","Personally felt an earthquake before","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","TV message","Epicenter (point of earthquake origin)","Try to reach my friends, family or anyone near me","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2,5,5,1,1,3,5,2,1,0,0,3,0,4,1,1,1,0.0526315789473684,1
"138",138,"2024-07-18","EN",10.4,"41-45","Male","Married","Post-graduate","Newar (Newa)","","Lalitpur","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3,5,5,1,1,2,5,1,1,0,0,4,2,5,1,6,12,0.631578947368421,6
"139",139,"2024-07-18","EN",9.33333333333333,"","","","University (Bachelor)","Bahun","","Kaski","City","Personally have felt strong shaking,Personally have experienced injury,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Try to reach my friends, family or anyone near me","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,4,5,0,NA,NA,0,3,NA,2,1,5,12,0.631578947368421,5
"140",140,"2024-07-19","NE",14.1333333333333,"36-40","Male","Widowed","Secondary","Magar","","Tanahun","Town","Personally felt an earthquake before,Suffered financial loss due to an earthquake","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3,5,5,1,1,3,5,2,0,0,1,2,2,5,1,2,3,0.157894736842105,1
"141",141,"2024-07-19","EN",9.63333333333333,"21-25","Male","Single (never married)","University (Bachelor)","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I think it is a good thing to implement but not a priority.","Useful","Yes","",2,4,5,1,1,4,5,0,0,0,0,3,0,3,1,4,6,0.315789473684211,6
"142",142,"2024-07-19","EN",5.01666666666667,"21-25","Male","Single (never married)","University (Bachelor)","Bahun","","Bhaktapur","City","Personally felt an earthquake before","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Magnitude of earthquake","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","Skip","","","",2,NA,NA,NA,NA,3,4,0,0,0,0,3,0,5,0,1,1,0.0526315789473684,1
"143",143,"2024-07-19","NE",5.73333333333333,"41-45","Male","Separated","Post-graduate","Newar (Newa)","","Kathmandu","City","Observed","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,4,5,1,0,0,0,4,2,4,1,1,2,0.105263157894737,1
"144",144,"2024-07-19","EN",11.6833333333333,"21-25","Male","Single (never married)","University (Bachelor)","Other","Singh","Sarlahi","City","Personally felt an earthquake before,Personally have experienced injury,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Epicenter (point of earthquake origin)","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Skip","",1,5,5,NA,NA,3,4,2,0,0,0,3,0,2,0,4,10,0.526315789473684,2
"145",145,"2024-07-19","EN",10.5666666666667,"26-30","Male","Single (never married)","Post-graduate","Skip","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0,5,5,1,1,4,5,NA,0,0,0,4,1,5,0,5,10,0.526315789473684,6
"146",146,"2024-07-19","EN",10.8,"21-25","Female","Single (never married)","University (Bachelor)","Bahun","","Sarlahi","Village","Personally felt an earthquake before,Personally have felt strong shaking,Struggled mentally following an earthquake,Observed,Have seen the effects of","Neither agree nor disagree","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Epicenter (point of earthquake origin),Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3,5,5,1,1,2,3,0,0,1,2,3,0,5,1,5,8,0.421052631578947,3
"147",147,"2024-07-19","EN",5.38333333333333,"26-30","Male","Single (never married)","University (Bachelor)","Newar (Newa)","","Kathmandu","City","Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I may feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,4,5,1,0,0,0,3,1,4,1,6,16,0.842105263157895,1
"148",148,"2024-07-19","EN",6.03333333333333,"36-40","Male","Married","University (Bachelor)","Bahun","","Kathmandu","Town","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends","Highly agree (Very worried)","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Try to reach my friends, family or anyone near me","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",1,5,5,0,0,5,5,0,1,0,1,3,2,2,0,3,7,0.368421052631579,5
"149",149,"2024-07-19","EN",6.96666666666667,"21-25","Male","Single (never married)","University (Bachelor)","Bahun","","","Town","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking","Take cover and wait for the shaking to stop","I don't know","I feel strongly this SHOULD be implemented in Nepal.","Useful","Ask me again at the end of the survey","Yes",3,5,5,1,NA,3,4,0,0,0,1,3,0,4,NA,6,12,0.631578947368421,3
"150",150,"2024-07-19","EN",7.16666666666667,"21-25","Male","Single (never married)","Secondary","Other","Muslim","Bara","City","Personally felt an earthquake before,Personally have felt strong shaking","Slightly agree ","I have never heard of it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2,5,5,1,1,1,4,2,0,0,0,2,0,5,1,2,3,0.157894736842105,2
"151",151,"2024-07-19","EN",4.31666666666667,"21-25","Male","Single (never married)","Secondary","Madhesh","","Siraha","Village","Personally have felt strong shaking,Observed","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","","","",1,5,NA,NA,NA,3,5,2,0,0,2,2,0,5,1,2,4,0.210526315789474,2
"152",152,"2024-07-19","EN",6.01666666666667,"36-40","Male","Married","Pre-primary and/or primary","Newar (Newa)","","Kathmandu","Village","Personally have felt strong shaking","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I have no strong opinions about its implementation.","Useful","Yes","",2,3,5,1,1,1,5,1,1,0,2,1,2,5,1,1,2,0.105263157894737,1
"153",153,"2024-07-19","NE",7.08333333333333,"26-30","Male","Single (never married)","Post-graduate","Bahun","","Kathmandu","City","Personally felt an earthquake before","Slightly disagree ","I know what it is and how they work.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","Skip","Skip","Skip","",1,NA,NA,NA,NA,4,2,0,0,0,0,4,1,2,0,1,1,0.0526315789473684,3
"154",154,"2024-07-20","EN",6.66666666666667,"","Male","Single (never married)","Secondary","Bahun","","Lalitpur","City","Personally felt an earthquake before,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin)","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes","",2,5,4,1,1,3,5,0,0,0,0,2,NA,3,1,2,2,0.105263157894737,4
"155",155,"2024-07-20","EN",7.23333333333333,"26-30","Male","Single (never married)","Post-graduate","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Suffered financial loss due to an earthquake","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Try to reach my friends, family or anyone near me","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2,5,5,1,1,3,5,0,0,0,0,4,1,5,1,4,10,0.526315789473684,6
"156",156,"2024-07-20","EN",57.35,"26-30","Male","Single (never married)","University (Bachelor)","Bahun","","Kailali","City","Personally felt an earthquake before","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3,5,5,1,1,2,5,0,0,0,0,3,1,2,0,1,1,0.0526315789473684,1
"157",157,"2024-07-20","EN",9.63333333333333,"21-25","Male","Single (never married)","University (Bachelor)","Madhesh","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Skip","",2,5,5,NA,NA,3,5,2,0,0,0,3,0,5,0,3,4,0.210526315789474,1
"158",158,"2024-07-20","EN",31.85,"41-45","Male","Married","University (Bachelor)","Bahun","","Kathmandu","City","Personally have experienced injury,Struggled mentally following an earthquake,Observed","Slightly agree ","I have never heard of it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1,5,5,1,1,1,4,0,1,0,0,3,2,2,1,3,9,0.473684210526316,6
"159",159,"2024-07-20","EN",5.11666666666667,"","Female","Married","Secondary","Bahun","","Lalitpur","City","Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes that will certainly cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",0,5,5,0,0,2,5,0,1,1,0,2,NA,1,1,6,13,0.684210526315789,5
"160",160,"2024-07-20","NE",9.06666666666667,"36-40","Male","Married","Post-graduate","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","A specific device designed to receive an earthquake early warning","Magnitude of earthquake,Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this should NOT be implemented in Nepal.","Somewhat useful","Ask me again at the end of the survey","No",2,1,4,1,NA,3,4,0,1,0,0,4,2,2,1,8,19,1,3
